customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0018,Female,0,Yes,Yes,60,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),119.04,7147.77,No
CUST0019,Female,1,No,Yes,30,Yes,No,No,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),63.4,1945.8,Yes
CUST0020,Male,0,Yes,No,21,No,No phone service,DSL,Yes,No internet service,No,Yes,No internet service,No,Two year,Yes,Credit card (automatic),82.68,1758.68,No
CUST0021,Female,0,No,No,42,Yes,No,Fiber optic,No internet service,No,No,No,No,No,Two year,No,Bank transfer (automatic),30.93,1304.16,No
CUST0022,Male,0,No,Yes,66,No,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),92.77,6149.86,No
CUST0023,Female,1,No,No,53,No,Yes,DSL,No,Yes,Yes,Yes,No,No internet service,One year,Yes,Credit card (automatic),45.46,2396.47,Yes
CUST0024,Female,0,No,No,9,Yes,No,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,One year,Yes,Credit card (automatic),63.76,596.89,Yes
CUST0025,Female,0,Yes,No,41,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,Yes,One year,Yes,Electronic check,108.08,4422.35,No
CUST0026,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No internet service,No,Month-to-month,No,Mailed check,117.0,7348.97,No
CUST0027,Female,0,Yes,Yes,20,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,One year,No,Electronic check,61.31,1237.17,No
CUST0028,Female,0,Yes,Yes,65,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No,No,One year,No,Mailed check,103.15,6723.44,No
CUST0029,Female,0,Yes,No,40,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,23.44,933.53,No
CUST0030,Female,1,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No,Yes,One year,Yes,Electronic check,104.45,2408.9,Yes
CUST0031,Male,0,Yes,Yes,34,No,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,One year,Yes,Electronic check,82.21,2814.55,Yes
CUST0032,Male,1,No,Yes,55,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes,One year,Yes,Mailed check,67.85,3758.52,No
CUST0033,Female,1,Yes,Yes,29,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,108.78,3194.18,No
CUST0034,Female,0,Yes,No,56,Yes,No,No,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Mailed check,104.22,5821.77,Yes
CUST0035,Female,0,No,Yes,46,Yes,No phone service,No,Yes,No internet service,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),48.29,2266.49,Yes
CUST0036,Male,1,Yes,Yes,34,Yes,Yes,No,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,98.73,3370.55,No
CUST0037,Female,0,Yes,No,18,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),28.15,535.47,No
CUST0038,Male,0,No,No,7,Yes,Yes,DSL,No,No internet service,No internet service,Yes,Yes,No,One year,No,Credit card (automatic),101.92,733.42,No
CUST0039,Male,0,Yes,No,25,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),86.9,2143.06,No
CUST0040,Male,0,Yes,Yes,70,No,No,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,No,Electronic check,26.96,1844.34,Yes
CUST0041,Male,1,Yes,No,29,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,Month-to-month,Yes,Electronic check,87.67,2565.06,Yes
CUST0042,Male,0,No,No,6,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,77.21,464.37,No
CUST0043,Female,0,Yes,Yes,66,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Mailed check,78.64,5210.46,No
CUST0044,Female,0,Yes,No,64,Yes,No,Fiber optic,No,No,Yes,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),47.67,3048.56,No
CUST0045,Female,0,No,Yes,35,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Mailed check,45.18,1562.52,No
CUST0046,Female,0,Yes,Yes,24,No,No phone service,No,Yes,No internet service,No internet service,No internet service,Yes,No,One year,No,Bank transfer (automatic),95.78,2277.22,No
CUST0047,Female,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),44.19,1613.89,No
CUST0048,Male,0,No,No,0,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Electronic check,63.52,0.0,No
CUST0049,Female,0,Yes,No,14,Yes,No phone service,Fiber optic,No,No,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),88.87,1265.65,Yes
CUST0050,Female,0,No,No,36,Yes,No phone service,DSL,Yes,No,No internet service,No,No,No internet service,One year,Yes,Credit card (automatic),26.12,928.72,No
CUST0051,Male,0,No,No,12,Yes,Yes,No,No internet service,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),78.64,970.77,No
CUST0052,Female,1,Yes,No,7,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,One year,No,Electronic check,78.12,511.12,No
CUST0053,Male,0,No,Yes,4,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Mailed check,87.79,321.66,No
CUST0054,Female,0,No,Yes,59,Yes,Yes,No,Yes,Yes,No,Yes,No internet service,No internet service,One year,No,Bank transfer (automatic),55.73,3306.66,No
CUST0055,Male,1,Yes,No,0,Yes,No,Fiber optic,No,No,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),63.8,0.0,No
CUST0056,Female,0,Yes,Yes,35,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),51.66,1778.49,Yes
CUST0057,Female,0,Yes,No,34,Yes,No,Fiber optic,Yes,No,Yes,No,No internet service,Yes,One year,Yes,Credit card (automatic),100.43,3454.9,Yes
CUST0058,Male,0,No,Yes,65,Yes,No,DSL,Yes,No,No,No internet service,No,No,Two year,No,Mailed check,31.32,2013.39,No
CUST0059,Male,0,Yes,Yes,62,Yes,No phone service,DSL,No internet service,No,No,No,No internet service,No,Two year,Yes,Credit card (automatic),116.22,7197.75,Yes
CUST0060,Male,0,No,Yes,22,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,No internet service,Two year,Yes,Electronic check,82.75,1790.73,No
CUST0061,Male,0,No,No,8,Yes,Yes,No,Yes,No internet service,Yes,No,No,No,One year,No,Electronic check,108.46,856.48,No
CUST0062,Male,0,No,Yes,33,Yes,Yes,DSL,No internet service,No,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),61.48,2028.0,No
CUST0063,Male,0,No,No,45,Yes,Yes,No,No,Yes,No,Yes,No,No internet service,One year,No,Bank transfer (automatic),51.89,2314.57,No
CUST0064,Male,0,No,Yes,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),109.87,356.52,No
CUST0065,Male,0,No,Yes,29,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.09,804.0,Yes
CUST0066,Female,0,No,Yes,71,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Two year,No,Electronic check,29.94,2148.69,Yes
CUST0067,Female,0,Yes,Yes,2,No,No phone service,No,No,Yes,No internet service,No,No internet service,Yes,Two year,No,Electronic check,48.53,67.77,No
CUST0068,Male,0,Yes,Yes,13,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),115.9,1494.4,Yes
CUST0069,Female,1,No,No,59,No,No,Fiber optic,No internet service,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),82.57,4822.44,No
CUST0070,Female,0,No,No,44,Yes,No,DSL,Yes,No internet service,No internet service,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),74.53,3305.18,Yes
CUST0071,Female,0,Yes,Yes,33,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Two year,Yes,Electronic check,89.95,2980.94,No
CUST0072,Female,0,No,Yes,44,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No internet service,No,One year,No,Mailed check,60.58,2697.3,No
CUST0073,Male,0,Yes,Yes,60,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Two year,Yes,Credit card (automatic),95.32,5714.76,Yes
CUST0074,Female,0,Yes,Yes,15,No,No phone service,DSL,No,Yes,No,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),58.11,901.62,No
CUST0075,Male,1,Yes,No,65,Yes,No phone service,No,No internet service,Yes,No,Yes,No,No internet service,Two year,Yes,Electronic check,102.29,6663.61,No
CUST0076,Female,1,No,Yes,39,Yes,No phone service,No,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),45.26,1715.5,No
CUST0077,Female,0,No,No,16,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,No internet service,Month-to-month,No,Mailed check,46.31,716.33,No
CUST0078,Female,1,Yes,Yes,33,No,No,DSL,No internet service,No internet service,No internet service,No,Yes,No,Two year,No,Mailed check,71.28,2351.63,No
CUST0079,Male,0,Yes,No,15,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,One year,No,Bank transfer (automatic),61.94,940.97,No
CUST0080,Female,0,Yes,Yes,59,Yes,Yes,No,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),84.11,4919.05,No
CUST0081,Male,0,Yes,Yes,65,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,No,Yes,One year,Yes,Credit card (automatic),55.16,3605.91,No
CUST0082,Female,1,Yes,No,65,Yes,No phone service,No,Yes,No internet service,No,Yes,No internet service,Yes,Two year,No,Mailed check,41.52,2703.15,Yes
CUST0083,Male,0,No,Yes,12,Yes,No phone service,No,No,No,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,65.92,793.62,No
CUST0084,Female,0,Yes,Yes,55,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),75.22,4116.3,No
CUST0085,Male,0,No,Yes,30,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.55,985.98,No
CUST0086,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No internet service,Two year,Yes,Mailed check,74.79,2420.82,No
CUST0087,Female,0,No,Yes,38,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),50.56,1877.75,No
CUST0088,Male,0,No,Yes,66,No,No,No,No internet service,No,No internet service,Yes,Yes,No internet service,One year,Yes,Mailed check,58.03,3853.37,No
CUST0089,Female,0,No,No,7,Yes,No,DSL,Yes,No,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),46.49,307.62,No
CUST0090,Female,0,No,No,54,Yes,No,DSL,Yes,No internet service,Yes,No,No,No internet service,Two year,Yes,Credit card (automatic),113.0,6086.7,No
CUST0091,Female,0,No,No,26,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,One year,Yes,Mailed check,87.7,2251.04,No
CUST0092,Female,0,No,Yes,52,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,44.77,2322.6,No
CUST0093,Female,0,Yes,Yes,38,Yes,Yes,No,No,No,No internet service,Yes,No internet service,Yes,One year,Yes,Mailed check,83.79,3139.22,No
CUST0094,Female,0,No,Yes,64,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,Two year,No,Mailed check,104.55,6671.24,No
CUST0095,Female,1,Yes,No,16,Yes,No phone service,DSL,Yes,Yes,No internet service,No,Yes,No,One year,No,Bank transfer (automatic),58.97,946.23,No
CUST0096,Female,0,No,Yes,29,No,No phone service,Fiber optic,Yes,No,Yes,No internet service,No,Yes,One year,No,Credit card (automatic),102.66,2973.7,Yes
CUST0097,Female,0,No,Yes,52,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),33.75,1804.97,Yes
CUST0098,Female,0,Yes,No,12,No,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,101.92,1211.92,No
CUST0099,Female,0,No,No,20,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),73.11,1450.9,No
CUST0100,Male,0,Yes,No,18,Yes,No phone service,DSL,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,40.74,733.68,No
CUST0101,Male,0,Yes,No,52,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,59.53,3064.59,No
CUST0102,Female,0,Yes,No,18,Yes,No phone service,DSL,No,No,No,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),118.78,2175.67,No
CUST0103,Female,0,Yes,Yes,56,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),97.92,5490.75,Yes
CUST0104,Female,0,No,No,24,Yes,Yes,No,No,No internet service,No,Yes,Yes,Yes,Two year,Yes,Mailed check,76.66,1809.05,No
CUST0105,Female,0,No,Yes,30,Yes,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,29.75,921.84,No
CUST0106,Female,0,Yes,Yes,54,Yes,No phone service,No,Yes,Yes,No internet service,Yes,No internet service,No,Two year,No,Mailed check,60.62,3226.91,No
CUST0107,Female,0,No,No,22,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),44.83,1034.52,No
CUST0108,Female,0,No,No,31,Yes,No,Fiber optic,No,No,Yes,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),25.24,818.95,Yes
CUST0109,Female,0,Yes,No,61,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,Yes,One year,No,Credit card (automatic),73.3,4479.26,No
CUST0110,Male,0,No,Yes,9,No,Yes,DSL,Yes,Yes,No internet service,Yes,No internet service,No,Two year,No,Electronic check,108.7,939.43,Yes
CUST0111,Female,0,Yes,No,71,Yes,No,No,No internet service,No internet service,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),86.91,6142.14,No
CUST0112,Male,0,Yes,No,53,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),43.47,2281.85,No
CUST0113,Female,0,No,No,51,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),76.51,3876.11,No
CUST0114,Female,0,No,No,19,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),114.21,2169.74,No
CUST0115,Male,1,No,No,31,Yes,No phone service,No,No internet service,Yes,Yes,No,No internet service,Yes,Two year,No,Credit card (automatic),91.74,2888.4,No
CUST0116,Female,1,Yes,Yes,13,No,No,Fiber optic,Yes,No,No,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),88.33,1142.71,No
CUST0117,Male,0,Yes,Yes,49,Yes,Yes,DSL,No,No,No internet service,No,No internet service,Yes,One year,Yes,Credit card (automatic),116.75,5736.91,No
CUST0118,Female,0,No,Yes,27,Yes,No,Fiber optic,No,No,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),99.49,2705.09,Yes
CUST0119,Female,0,No,No,52,Yes,No phone service,No,Yes,No internet service,No internet service,No,No,No internet service,Two year,No,Electronic check,31.94,1698.04,No
CUST0120,Male,0,No,No,23,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,One year,No,Bank transfer (automatic),53.46,1182.96,No
CUST0121,Female,0,No,No,21,Yes,No,No,No internet service,No,No,Yes,No internet service,No,Month-to-month,No,Mailed check,116.44,2435.67,No
CUST0122,Male,0,Yes,Yes,29,Yes,No phone service,No,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,67.95,1999.02,No
CUST0123,Female,0,No,No,62,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,No internet service,Two year,Yes,Mailed check,29.39,1853.67,No
CUST0124,Male,0,Yes,No,3,Yes,No,DSL,No internet service,No,No internet service,No,Yes,No internet service,Two year,Yes,Credit card (automatic),64.78,237.07,No
CUST0125,Male,0,Yes,No,58,Yes,No phone service,Fiber optic,No internet service,No,No,No,No,No internet service,Two year,No,Credit card (automatic),89.09,5187.5,No
CUST0126,Female,0,No,Yes,7,Yes,No phone service,DSL,No,No internet service,No,No internet service,No,No,Two year,Yes,Mailed check,119.75,812.77,No
CUST0127,Female,0,No,No,11,No,No,DSL,No,No,No internet service,Yes,No internet service,No internet service,One year,No,Credit card (automatic),51.04,562.01,No
CUST0128,Male,0,No,Yes,30,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,No,No,One year,Yes,Credit card (automatic),70.44,2066.43,No
CUST0129,Female,0,Yes,No,33,Yes,No,DSL,No,No internet service,No internet service,No internet service,No internet service,No,Two year,Yes,Electronic check,107.73,3569.78,No
CUST0130,Female,0,No,Yes,48,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,Yes,Month-to-month,No,Mailed check,54.24,2608.95,No
CUST0131,Female,0,No,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,Yes,Two year,No,Electronic check,29.14,1648.52,Yes
CUST0132,Male,1,Yes,Yes,25,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,114.79,2912.76,No
CUST0133,Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,67.82,1171.67,Yes
CUST0134,Male,0,Yes,No,37,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),69.28,2545.4,Yes
CUST0135,Male,0,No,Yes,49,Yes,No phone service,No,No,No,No internet service,No,Yes,Yes,One year,No,Bank transfer (automatic),81.36,3956.51,No
CUST0136,Male,0,Yes,Yes,7,Yes,No phone service,DSL,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,18.36,163.98,No
CUST0137,Male,0,No,No,40,Yes,No phone service,No,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),112.98,4488.63,No
CUST0138,Male,0,No,No,5,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,No,No,One year,No,Electronic check,54.87,240.51,No
CUST0139,Male,0,Yes,Yes,68,Yes,No phone service,No,Yes,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,No,Mailed check,58.49,3947.98,No
CUST0140,Male,0,Yes,No,43,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),35.76,1538.56,No
CUST0141,Female,0,No,No,63,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),56.57,3526.33,No
CUST0142,Male,0,Yes,No,28,No,Yes,No,Yes,No,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,100.0,2843.81,Yes
CUST0143,Female,0,Yes,No,27,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.6,2735.83,No
CUST0144,Female,0,Yes,Yes,10,Yes,No,No,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),113.45,1181.88,No
CUST0145,Female,0,Yes,No,64,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Mailed check,59.13,3738.23,No
CUST0146,Male,1,No,No,18,No,No phone service,DSL,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),90.29,1669.84,No
CUST0147,Male,0,No,Yes,8,Yes,Yes,DSL,Yes,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),69.74,607.66,No
CUST0148,Male,0,Yes,Yes,26,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),100.01,2644.5,No
CUST0149,Male,0,Yes,No,33,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),90.68,3009.53,No
CUST0150,Female,0,Yes,No,43,Yes,No phone service,No,Yes,No,No internet service,No internet service,No internet service,No,One year,No,Credit card (automatic),55.53,2407.91,No
CUST0151,Male,0,Yes,No,67,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,Yes,One year,No,Mailed check,52.34,3469.01,No
CUST0152,Male,0,No,No,14,Yes,No phone service,No,Yes,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),43.75,649.93,No
CUST0153,Male,0,No,Yes,50,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),76.8,3795.96,No
CUST0154,Male,0,Yes,Yes,12,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,116.31,1377.49,Yes
CUST0155,Male,0,Yes,Yes,48,Yes,No phone service,No,No,No,No internet service,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),38.41,1892.8,No
CUST0156,Female,0,Yes,No,69,Yes,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),27.72,1904.91,No
CUST0157,Male,0,No,No,55,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,No,Yes,Month-to-month,No,Electronic check,30.18,1623.02,No
CUST0158,Female,0,Yes,No,50,Yes,No,No,No internet service,No internet service,No,Yes,Yes,No,One year,No,Bank transfer (automatic),97.88,4940.93,No
CUST0159,Male,0,No,No,36,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),53.71,1981.97,No
CUST0160,Female,0,Yes,Yes,16,Yes,No,DSL,Yes,No internet service,No,No,No,No internet service,One year,No,Credit card (automatic),40.89,622.94,No
CUST0161,Male,0,No,Yes,57,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,53.99,3113.91,Yes
CUST0162,Male,1,Yes,No,28,Yes,No,No,No,No internet service,Yes,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),83.82,2336.0,No
CUST0163,Female,0,No,Yes,32,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,No,No,Month-to-month,No,Electronic check,73.77,2348.78,No
CUST0164,Female,0,Yes,No,59,No,Yes,DSL,No,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,93.85,5513.42,Yes
CUST0165,Female,0,Yes,No,54,Yes,Yes,DSL,No,No internet service,No internet service,No internet service,No internet service,Yes,One year,No,Mailed check,52.59,2794.33,No
CUST0166,Male,0,Yes,Yes,9,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,64.11,553.79,No
CUST0167,Female,0,No,No,46,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,Yes,Two year,Yes,Mailed check,28.4,1261.78,No
CUST0168,Male,0,Yes,No,22,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.45,602.34,No
CUST0169,Male,0,No,Yes,20,Yes,Yes,No,Yes,Yes,No,No,No internet service,No,One year,Yes,Mailed check,65.15,1319.17,No
CUST0170,Female,0,No,No,12,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,48.76,623.78,No
